Name	Start	Duration	Time Format	Type	Description
1s	0:04.437	0:00.000	decimal	Cue	
1v	0:06.386	0:00.000	decimal	Cue	
1m	0:11.400	0:00.000	decimal	Cue	
2s	0:16.800	0:00.000	decimal	Cue	
2v	0:18.213	0:00.000	decimal	Cue	
2m	0:22.629	0:00.000	decimal	Cue	
3s	0:28.825	0:00.000	decimal	Cue	
3v	0:30.253	0:00.000	decimal	Cue	
3m	0:35.043	0:00.000	decimal	Cue	
4s	0:40.711	0:00.000	decimal	Cue	
4v	0:41.810	0:00.000	decimal	Cue	
4m	0:46.499	0:00.000	decimal	Cue	
5s	0:52.306	0:00.000	decimal	Cue	
5v	0:53.406	0:00.000	decimal	Cue	
5m	0:58.393	0:00.000	decimal	Cue	
es	1:04.655	0:00.000	decimal	Cue	
e	1:11.041	0:00.000	decimal	Cue	
